offset	bank	bank_offset	address	length	ascii_ratio	high_byte_ratio	entropy	sample_hex	sample_ascii_lossy
0x000A7B	0x00	0x0A7B	0x0A7B	33	0.333	0.515	4.802	195d54c179d62e4fafc93e01ea64c6e1c1d1f60137c9cb7c2048e5cdee0ae1d8	.]T.y..O..>..d......7..| H.......
0x000A9D	0x00	0x0A9D	0x0A9D	9	0.444	0.222	3.17	094b42c578b7280301	.KB.x.(..
0x000AB5	0x00	0x0AB5	0x0AB5	41	0.244	0.512	4.638	c9cde10cd1e1f519f1c1381a79934f789a47b120d6cdae0b380c3e02cdc10c38	..........8.y.Ox.G. ....8.>....8......7..
0x000ADF	0x00	0x0ADF	0x0ADF	9	0.0	0.667	3.17	c019e5cdee0ae1d806	.........
0x000AE9	0x00	0x0AE9	0x0AE9	23	0.652	0.261	4.089	094b4218b25e235623d546232a4e23c5ea61c65d54c521	.KB..^#V#.F#*N#..a.]T.!
0x000B0B	0x00	0x0B0B	0x0B0B	13	0.0	0.846	3.393	c7c5d5cdf30cd1c1d2970bc1d1	.............
0x000B1A	0x00	0x0B1A	0x0B1A	17	0.353	0.471	3.852	caaa0b3e2ecb402001afc605814fc5c53e	...>..@ .....O..>
0x000B2C	0x00	0x0B2C	0x0B2C	9	0.556	0.444	3.17	8f477b915f7a9857c1	.G{._z.W.
0x000B3B	0x00	0x0B3B	0x0B3B	15	0.267	0.533	3.507	210ac777d5c53e05cdc10cc1d1d521	!..w..>.......!
0x000B4B	0x00	0x0B4B	0x0B4B	8	0.125	0.625	3.0	c7cded0cd1c13008	......0.
0x000B55	0x00	0x0B55	0x0B55	9	0.444	0.333	3.17	28533e041849c5d5e5	(S>..I...
0x000B64	0x00	0x0B64	0x0B64	9	0.0	0.667	3.17	ce0e02cdbb0ce1d1c1	.........
0x000B6E	0x00	0x0B6E	0x0B6E	17	0.412	0.471	3.97	63c6bc202f3e05bd202aafcb40c8c5d506	c.. />.. *..@....
0x000B8D	0x00	0x0B8D	0x0B8D	40	0.325	0.4	4.884	195d54c179d62e4fafc93e01ea64c6c1d13e0718023e05cdc10ccdd20cf60137	.]T.y..O..>..d...>...>.........7.!..*.#.
0x000BD0	0x00	0x0BD0	0x0BD0	24	0.125	0.75	3.772	c3e10c0fc2b3bcddbcdeadddcbdec1adb320c6bcc320200e	................. ...  .
0x000BE9	0x00	0x0BE9	0x0BE9	21	0.095	0.81	3.88	b9deb0d1cedeb0b20fc4deb3bca620b8afc2b9200e	.............. .... .
0x000BFF	0x00	0x0BFF	0x0BFF	20	0.25	0.65	3.722	41cedec0dd0fa620b5bcc3b8c0debbb22020200e	A...... ........   .
0x000C15	0x00	0x0C15	0x0C15	20	0.1	0.8	3.922	0fc2b3bcdda620c1adb3bcbdd9cadeb1b2ca200e	...... ........... .
0x000C2A	0x00	0x0C2A	0x0C2A	16	1.0	0.0	0.0	20202020202020202020202020202020	                
0x000C3B	0x00	0x0C3B	0x0C3B	20	0.25	0.65	3.722	42cedec0dd0fa620b5bcc3b8c0debbb22020200e	B...... ........   .
0x000C51	0x00	0x0C51	0x0C51	23	0.391	0.348	4.056	21d30bcd3b08cfd8cb4f2047e60128f621150ccd3b0821	!...;....O G..(.!...;.!
0x000C6C	0x00	0x0C6C	0x0C6C	10	0.3	0.4	3.322	c80e10cdbb0c3830d739	......80.9
